bpvalue: 0, first_n: 0, bits: 1
bpvalue: 1, first_n: 0, bits: 3
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 0, first_n: 1, bits: 2
bpvalue: 0, first_n: 1, bits: 2
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 1, first_n: 1, bits: 2
bpvalue: 0, first_n: 1, bits: 2
bpvalue: 0, first_n: 1, bits: 2
bpvalue: 0, first_n: 1, bits: 2
bpvalue: 2, first_n: 1, bits: 4
bpvalue: 4, first_n: 2, bits: 5
bpvalue: 11, first_n: 3, bits: 4
bpvalue: 7, first_n: 4, bits: 4
bpvalue: 5, first_n: 4, bits: 4
bpvalue: 7, first_n: 4, bits: 4
bpvalue: 12, first_n: 4, bits: 4
bpvalue: 3, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 8, first_n: 4, bits: 4
bpvalue: 2, first_n: 4, bits: 4
bpvalue: 13, first_n: 4, bits: 4
bpvalue: 10, first_n: 4, bits: 4
bpvalue: 10, first_n: 4, bits: 4
bpvalue: 3, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 2, first_n: 4, bits: 4
bpvalue: 2, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 6, first_n: 4, bits: 4
bpvalue: 4, first_n: 4, bits: 4
bpvalue: 9, first_n: 4, bits: 4
bpvalue: 10, first_n: 4, bits: 4
bpvalue: 14, first_n: 4, bits: 4
bpvalue: 8, first_n: 4, bits: 4
bpvalue: 6, first_n: 4, bits: 4
bpvalue: 9, first_n: 4, bits: 4
bpvalue: 12, first_n: 4, bits: 4
bpvalue: 5, first_n: 4, bits: 4
bpvalue: 13, first_n: 4, bits: 4
bpvalue: 15, first_n: 4, bits: 4
bpvalue: 1, first_n: 4, bits: 4
bpvalue: 8, first_n: 4, bits: 4
bpvalue: 2, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 4, bits: 4
bpvalue: 0, first_n: 0, bits: 1
bpvalue: 1, first_n: 0, bits: 3
bpvalue: 1, first_n: 1, bits: 2
